,videoId,videoTitle,videoDescription,videoUrl,videoPublishedTime,viewCount,likeCount,dislikeCount,favoriteCount,commentCount
0,s__sV0JTW9k,Inside Nigeria&#39;s Push to End Police Brutality,Nigerians organize protests at home and in expatriate Nigerian communities around the world to put an end to the brutality caused by the Special Anti-Robbery ...,https://www.youtube.com/watch?v=s__sV0JTW9k,21:00:10,161253,3795,160,0,927
1,9U110_p92jE,#EndSARS: Witness Plays Video That Claims Army Shot Protesters At Lekki Toll Gate,#ChannelsTv.,https://www.youtube.com/watch?v=9U110_p92jE,15:00:27,32519,0,0,0,0
2,8NH9MXuBQr4,#EndSARS – Nigerias Kampf gegen Korruption und Polizeigewalt I #trending,"Das Video eines unschuldigen Passanten, der von der nigerianischen Polizei-Einheit SARS niedergeschossen wird, ging im letzten Herbst viral - tausende ...",https://www.youtube.com/watch?v=8NH9MXuBQr4,15:35:53,27184,857,72,0,290
3,FLasT1ohvpw,END SARS PROTEST,instagram @mcluving_productions.,https://www.youtube.com/watch?v=FLasT1ohvpw,12:18:59,18,0,0,0,0
4,TK51buvzjxc,NIGERIAN POLICE FINALLY BOWS WITH PRESSURE OF THE NEW END SARS PROTETERS AT LEKKI TOLL GATE,NIGERIAN POLICE FINALLY BOWS WITH PRESSURE OF THE NEW END SARS PROTETERS AT LEKKI TOLL GATE Gbefilatv is an Entertainment channel ...,https://www.youtube.com/watch?v=TK51buvzjxc,13:42:24,30941,215,16,0,121
5,UgLdLXzlNFE,End SARS Protest Part 2 Begins!! | Occupy Lekki Toll Gate Protesters Get Arr£$ted | Full Update,End SARS Protest Part 2 Begins!! | Occupy Lekki Toll Gate Protesters Get Arr£$ted | Full Update #Endsars #protest #Lagos #nigeria #news #occupylekkitollgate.,https://www.youtube.com/watch?v=UgLdLXzlNFE,11:19:37,3716,51,1,0,25
6,5tSTc4rYw7Q,END SARS  - BRAND NEW COMEDY SKIT,"CitynollyTv is a Top Nigerian Nollywood Movie Channel, that Brings to you Collections of Nollywood Movies, Romantic Movies, Action Movies, Family Movies, ...",https://www.youtube.com/watch?v=5tSTc4rYw7Q,14:00:01,5,0,0,0,0
7,RoOBOFOJ3YU,#EndSARS Is Back To End Nigeria🇳🇬,OccupyLekkiTollGate #EndSARS NIGERIAN youths to resume endsars protest over lekki Tollgate reopening.,https://www.youtube.com/watch?v=RoOBOFOJ3YU,13:39:05,7915,496,6,0,35
8,ds-aUcN2CdY,End SARS 2021 Protest Again In Nigeria As Experts Question President Buhari Response,End SARS 2021 Protest Again In Nigeria As Experts Question President Buhari Response #ENDSARS #LekkiTollGate #OccupyLekkiTollGate Bolatito Rinu ...,https://www.youtube.com/watch?v=ds-aUcN2CdY,19:12:46,308,15,1,0,0
9,lUfRlNVW3_8,#ENDSARS: My Conscience Won’t Let Me Remain On The Judicial Panel - Rinu,Don't forget to subscribe: https://bit.ly/2Hb8hjx Watch more interesting videos: https://bit.ly/34ogCaw Follow Channels Television On: Facebook: ...,https://www.youtube.com/watch?v=lUfRlNVW3_8,18:39:40,55022,0,0,0,141
10,QlWg5QLapQ8,DOZENS OF POLICE OFFICERS DEPLOY TO LEKKI TOLLGATE AHEAD PLANNED END SARS PRØTEST,DOZENS OF POLICE OFFICERS DEPLOY TO LEKKI TOLLGATE AHEAD PLANNED END SARS PRØTEST.,https://www.youtube.com/watch?v=QlWg5QLapQ8,23:11:37,1135,9,1,0,10
11,eh2CwOG3AHk,#EndSARS Coordinator Plays Videos Showing Protesters Allegedly Shot By Soldiers,#ChannelsTv.,https://www.youtube.com/watch?v=eh2CwOG3AHk,12:26:14,26470,0,0,0,0
12,3_fmEE8WwfE,END SARS - LATEST 2021 NIGERIAN SHORT FILM,Mind-blowing TOP NIGERIAN MOVIES 2019 | TRENDING MOVIES 2019 | AFRICAN MOVIES 2019 | NOLLYWOOD MOVIES 2019 NIGERIAN MOVIES ...,https://www.youtube.com/watch?v=3_fmEE8WwfE,18:45:01,24,0,0,0,0
13,lVxwVfZ1Uxg,Lekki toll gate shootings: What really happened? - BBC Africa,"The youth of Nigeria found their voice in 2020 with the rise of the #EndSARS protests against police brutality. Nicknamed the ""Soro Soke"" generation - which ...",https://www.youtube.com/watch?v=lVxwVfZ1Uxg,15:23:30,6774,173,6,0,38
14,dwo3M8Prpvo,END SARS NASHVILLE PROTEST| NEVER FORGET|VLOG,"This video is long overdue! October 24, 2020 many people took to the streets to protest and stand in solidarity with the youth in Nigeria. October 20. 2020 at ...",https://www.youtube.com/watch?v=dwo3M8Prpvo,20:30:06,63,4,0,0,0
15,bcnA9j947kA,BREAKING: #ENDSARS... T€NSIØÑ IN LAGOS AS #OCCUPYLEKKI PROTESTERS USED DECOY FOR POLICE.,Occupy lekki# Police.,https://www.youtube.com/watch?v=bcnA9j947kA,08:40:42,298,6,0,0,0
16,L81jl38WlYM,End SARS. The Nigerian youths leading Africa to the future.,For a long time in Africa leadership has always been a problem. The continent is the richest in the world but yet suffers most. It's one of the poorest despite all its ...,https://www.youtube.com/watch?v=L81jl38WlYM,11:00:51,2636,253,0,0,57
17,BtIq9f18SGE,End sars interveiw(class project),this is for a school project but i think the whole world should learn from this little video(lookin at u nigeria) also checkout my merch at DOESNT EXIST.COM thabk ...,https://www.youtube.com/watch?v=BtIq9f18SGE,18:48:44,0,0,0,0,0
18,xeNexpo252E,END SARS,"20thOfficialFoxLoveMovies#Lovomovies#sex#latestcibemastv# PLEASE KINDLY SUBSCRIBE TO MY CHANEL,AND CLICK THE NOTIFICATION BUTTON FOR ...",https://www.youtube.com/watch?v=xeNexpo252E,15:00:32,6,0,0,0,0
19,PhAysWZL1Rw,CHARLES AND OSUOFIA WAN START ENDSARS AGAIN - BEST COMEDIES SKIT| FUNNY VIDEOS| NIGERIAN COMEDY 2021,Please subscribe for more Latest Funny Nigerian Comedy Feel free to chat me up for more Latest Funny Nigerian Comedy THE MASTER COMEDY This Latest ...,https://www.youtube.com/watch?v=PhAysWZL1Rw,08:00:05,95385,698,35,0,41
20,8wzoQsgZIwQ,NIGERIAN POLICE OOWS WITH PRESSURE OF THE NEW END SARS PROTEST AT LEKKI TOLL GATE,NIGERIAN POLICE OOWS WITH PRESSURE OF THE NEW END SARS PROTEST AT LEKKI TOLL GATE Face tv Africa Face tv Africa Facetv Africa Face tv ...,https://www.youtube.com/watch?v=8wzoQsgZIwQ,13:57:12,1815,33,1,0,4
21,ug2AHD66tyI,We Need #EndSARS 2 - Omoyele Sowore,We Need #EndSARS 2 - Omoyele Sowore.,https://www.youtube.com/watch?v=ug2AHD66tyI,20:02:21,501,30,1,0,4
22,nja7XSSuH3E,!d!ot Ayigbe Edem Supported END SARS But Is Against FIXTHECOUNTRY Campaign - Kevin Taylor,SubscribeToLoudSilenceTV2 #SubscribeToBenjamineWayoMahama #SubscribeToTimoMedia PLEASE NOTE: Subscribe to Our YouTube Channel - (C) ...,https://www.youtube.com/watch?v=nja7XSSuH3E,10:10:43,591,22,1,0,8
23,bJwHCaivs3E,Throw back on End Sars 🤔,,https://www.youtube.com/watch?v=bJwHCaivs3E,10:09:56,19,3,0,0,0
24,M72_fLBHWDc,END SARS|| JOIN THE MOVEMENT TO END SARS|| LATEST COMEDY SKIT,NollyreelNigerianLatestMovieslatestnigerian #NollyreelLatestMovies #24hrNollyreelLatestMovies2019 #NollyreelLatestAFRICANSMOVIES ...,https://www.youtube.com/watch?v=M72_fLBHWDc,13:15:01,39,1,0,0,0
25,p0pr47kgrmc,"Kay Rhoma: END SARS, Coming From Nigeria, Africans &amp; African Americans Tension &amp; YWA Clothing Line","We sat down with Houston artist Kay Rhoma. He spoke with us about transitioning from Nigeria to America and realizing it wasn't as glorified as he saw on TV, ...",https://www.youtube.com/watch?v=p0pr47kgrmc,21:00:09,1321,129,1,0,24
26,QHa0RoWv4Uk,Watch as dozens of END SARS protesters were arrested at the ongoing occupy lekki toll gate protest,Dozens of END SARS protesters arrested at the ongoing occupy lekki toll gate protest! This is the second time in less than 6 months the Nigerian government is ...,https://www.youtube.com/watch?v=QHa0RoWv4Uk,15:55:53,16,6,0,0,1
27,839qtC6APcs,Watch How Comedian Mr Macaroni was Arrested by the Lagos Police Force Over Lekki Toll Gate Protest,#LekkiTollGateProtest #MrMacaroni #MrMacaroniArrested #EndSARS #MrMacaroniComedy #MrMacaronitakenaway #LekkiTollGateReopening ...,https://www.youtube.com/watch?v=839qtC6APcs,18:14:08,9187,116,2,0,19
28,QD1c_pgDF3M,END SARS: JUDICIAL PANEL DIVIDED OVER RE-OPENING OF LEKKI TOLL GATE - ARISE NEWS REPORT,ENDSWAT #EndSarsNow #policebrutality #endsarsnotbansars #fsars #endsarsprotest #lekki #lagostraffic #buhari #fgn #policebrutalityinnigeria #5for5 ...,https://www.youtube.com/watch?v=QD1c_pgDF3M,09:19:52,1619,17,5,0,14
29,qYXbY1EZdfs,END SARS- The Movie,Real life events of October 2020 when the Nigerian government opened fire on unarmed protesters has been turned into animation by Tolu Follow us on social ...,https://www.youtube.com/watch?v=qYXbY1EZdfs,14:02:14,134,8,0,0,0
30,D1u51clktaA,"buhari sends end sars protest leaders to exile, what a shame.",,https://www.youtube.com/watch?v=D1u51clktaA,10:38:50,16,1,0,0,0
31,7BujHZvxINE,WHAT HAPPENED TO ENDSARS? 7 MONTHS SINCE LEKKI MASSACRE | ONE NIGERIA? DIVIDE NIGERIA?,WHAT HAPPENED TO ENDSARS? 7 MONTHS SINCE LEKKI MASSACRE | ONE NIGERIA? DIVIDE NIGERIA? // M U S I C I do not own the rights to video clips ...,https://www.youtube.com/watch?v=7BujHZvxINE,21:00:03,54,10,0,0,0
32,gYMzV4obSXk,Nigerian End SARS Protests:#End SARS protests/police Arrest Mr macaroni,"Nigerians takes to the streets to call for an end to the country's SARS police unit. Lagos state commissioner of police, cp zubariru Muaza mni arrives at the lekki ...",https://www.youtube.com/watch?v=gYMzV4obSXk,13:37:22,5,1,0,0,0
33,tpx-1h8_ZUE,EndSARS:#OccupyLekkiTollgateVs#DefendLagos protest| What&#39;s ur take On the Reopening Of LekkiTollgate,EndSARS: Lagos govt vows to stop planned #OccupyLekkiToll gate protest by rival groups Lagos State Government has warned those planning to stage ...,https://www.youtube.com/watch?v=tpx-1h8_ZUE,10:13:05,5959,72,1,0,8
34,L6h4xN7VhD8,"Mr Macaroni Went To Lekki TollGate And This Happened: Occupy Lekki, EndSARS, Soro Soke",,https://www.youtube.com/watch?v=L6h4xN7VhD8,17:10:21,9797,236,3,0,122
35,KkIwAMoo0cI,END SARS RELOADED VC,This is a short comedy that will make you laugh out loud A lady goes to a fake prophet(MC KING EMERALD) to help the society kill the demon killing the youths.,https://www.youtube.com/watch?v=KkIwAMoo0cI,13:45:20,28,2,0,0,0
36,irsBceAqJTI,Do Not Use End Sars Protest as a Smok Screen-- HURIWA president SAYs,Do Not Use End Sars Protest as a SmokeScreen-- HURIWA president SAYs.,https://www.youtube.com/watch?v=irsBceAqJTI,16:36:32,7,1,0,0,0
37,XLR4hhEKspk,NIGERIA END SARS MOVEMENT EXPLAINED (Who&#39;s To Blame?),"This video will discuss the basics of the end SARS movement, and how it took a deadly turn. Leaving 51 civilians, 11 policemen, 7 soldiers dead.",https://www.youtube.com/watch?v=XLR4hhEKspk,13:47:09,13,3,0,0,0
38,HyAawh7bV9g,Mr. MACARONI Finally Speaks out! #endsars#lekkitollgate#protestors#Nigeria,Nigeria.,https://www.youtube.com/watch?v=HyAawh7bV9g,11:21:16,6,1,0,0,0
39,wqumgyEBjHo,CRYPTOCURRENCY SHOULD BE REGULATED NOT BAN- VICE PRESIDENT OF NIGERIA / #END SARS SWAT UPDATE,News/ BUSSINESS NEWS SECURITY/,https://www.youtube.com/watch?v=wqumgyEBjHo,22:39:13,1,0,0,0,0
40,FOpVMaVJUQI,Wizkid Speaks About The End Sars Protest,"End Sars, Wizkid Speaks.",https://www.youtube.com/watch?v=FOpVMaVJUQI,05:00:15,26,1,0,0,0
41,E-7PVO80pSw,Effect of the end sars protest on our children,Our children are living in fear since the recent end sars protest. Also having a wrong mindset about the police force at large.,https://www.youtube.com/watch?v=E-7PVO80pSw,07:07:04,64,15,0,0,0
42,Nu0f9HE2GIA,Wealth Coach from Abuja Lecture in Agbor Delta State Nigeria End Sars Protest,Mr.Nkwor Christopher Health and Wealth Coach from Abuja Wealth Coach from Abuja Lectures in Agbor Delta State Nigeria End Sars Protest.,https://www.youtube.com/watch?v=Nu0f9HE2GIA,18:44:41,47,0,0,0,0
43,965_vxu4TCA,#EndSars Police Arrest Comedian Mr Macaroni at the Lekki Toll  Gate Protest,EndSars Police Arrest Comedian Mr Macaroni at the Lekki Toll Gate Protest.,https://www.youtube.com/watch?v=965_vxu4TCA,23:23:41,1107,21,0,0,10
44,8m7vYo2dbQw,EndSARS: Victims Compensated,"Thanks for watching, Please like, subscribe and share Love and appreciate you all.",https://www.youtube.com/watch?v=8m7vYo2dbQw,10:06:32,462,0,0,0,19
45,GvwGfLoCEcc,BREAKING NEWS: UNITED NATIONS HONOUR ENDSARS ÞR●T$ST£R$ RINU SEE WHAT THEY DID 2 HER AS NIGERIANS..,ENDSARS #PROTEST #Nigeria #UN.,https://www.youtube.com/watch?v=GvwGfLoCEcc,12:43:30,1116,53,0,0,5
46,aEmaLRdkIxc,Buhari Finally Restates  End Sars 5 Demands &amp; The Man That D!es During S€X With Married Woman,PLEASE SUBSCRIBE AND HIT THE NOTIFICATION BELL FOR MORE VIDEOS THANKS FOR SUPPORTING AND MAY GOD BLESS YOU AND YOU FAMILY ...,https://www.youtube.com/watch?v=aEmaLRdkIxc,17:33:24,27136,537,13,0,126
47,bO5YhEMK46A,during the #end sars big problem that happens in Akure state capital of info state,,https://www.youtube.com/watch?v=bO5YhEMK46A,16:47:08,8,1,0,0,0
48,272BPw7vl5g,Rihanna Support Mr Macaroni &amp; Endsars Protest In lekki Tollgate |  Buhari X BBNAIJA,Rihanna Support Mr Macaroni & Endsars Protest In lekki Tollgate | Buhari X BBNAIJA #rihanna #endsars #mrmacaroni Follow Me On Instagram ...,https://www.youtube.com/watch?v=272BPw7vl5g,17:56:33,19314,735,15,0,90
49,HMheHEswjD0,Anambra State Government Playing Politics With Its ENDSARS Judicial Panel of Inquiry,Don't forget to subscribe to our channel: https://bit.ly/2J1dFFf Watch more amazing videos about #Africa: https://bit.ly/2J1 Watch News Central TV live: ...,https://www.youtube.com/watch?v=HMheHEswjD0,11:13:13,101,5,0,0,2
